GVKEY,Company,Handle,Twitter_Descr,verified
1078,ABBOTT LABORATORIES,AbbottNews,"This is technology at its most personal, to help you live your best, healthiest life. #lifetothefullest https://t.co/6IcXSYxpuw",True
1177,AETNA INC,Aetna,"Every day, as part of @CVSHealth, we join you to help you on your path to better health🏃‍♀️🚴‍♂️🏊‍♂️ #CommunityHeart",True
1209,AIR PRODUCTS & CHEMICALS INC,airproducts,"Industry-leading company of 19,000+ dedicated employees innovating toward a more #sustainable future with #industrialgas solutions & cutting-edge technology.",True
1300,HONEYWELL INTERNATIONAL INC,honeywell,"At #Honeywell, we're transforming the way the world works. #futureshaper",True
1356,ALCOA INC,Alcoa,"Alcoa is a global industry leader in bauxite, alumina and aluminum products, with a strong portfolio of cast and rolled products and substantial energy assets.",True
1440,AMERICAN ELECTRIC POWER CO,AEPnews,"The Official AEP account for latest news, info & updates from American Electric Power. We're here from 8 am-11 pm Mon-Fri & 8-5 weekends and holidays.",True
1837,SOUTHERN CO GAS,SSGC_Official,Sui Southern Gas Company is Pakistan's leading integrated natural gas company involved in transmission and distribution of gas in Sindh and Balochistan.,True
1878,AUTODESK INC,autodesk,"3D design, engineering, and entertainment software and services. 
Have a question? Visit our community forums: https://t.co/ADDNuPre2j",True
1891,AUTOMATIC DATA PROCESSING,ADP,"HR, Talent, Time Management, Benefits and Payroll.  Informed by data and designed for people.",True
1913,AVERY DENNISON CORP,AveryDennison,We are a global materials science company specializing in the design and manufacture of a wide variety of labeling and functional materials.,True
1976,BAKER HUGHES INC,Avitas_Systems,"A Baker Hughes venture company advancing inspection services with data analytics, robotics, and AI across industrial industries.",True
1995,CONSTELLATION ENERGY GRP INC,ConstellationEG,"Constellation, an Exelon company, is a leading supplier of energy products & services.",True
2019,BANK OF NEW YORK MELLON CORP,BNYMellon,BNY Mellon delivers informed investment management and investment services in 35 countries and serves clients around the world. https://t.co/m76x8p2xDf,True
2490,BURLINGTON NORTHERN SANTA FE,BNSFRailway,BNSF Railway is an Equal Opportunity Employer. Follows are not endorsements. Call 800-832-5452 to report track or crossing issues. Account not monitored 24/7.,True
2751,CARDINAL HEALTH INC,cardinalhealth,"The news handle for Cardinal Health on Twitter, providing up-to-date info and announcements from the public relations team. Twitter disclaimer below.",True
2817,CATERPILLAR INC,CaterpillarInc,"For more than 90 years, Caterpillar Inc. has been making sustainable progress possible and driving positive change on every continent.",True
2991,CHEVRON CORP,Chevron,"our greatest resource is our people. their ingenuity & creativity have met the complex challenges of energy’s past. together, we’ll take on the future.",True
3121,CLOROX CO/DE,CloroxCo,"Your official home for updates on The Clorox Company. Through our family of brands, we champion people to be well and thrive every single day.",True
3243,CITIGROUP INC,Citi,Serving as a trusted partner to our clients by responsibly providing financial services that enable growth & economic progress. Customer service: @AskCiti,True
3336,DXC TECHNOLOGY CO,DXCTechnology,We help our customers across the entire enterprise tech stack with differentiated industry solutions. Connect with our award-winning teams across the world.,True
3413,CONSOLIDATED EDISON INC,ConEdison,Official Twitter handle for Con Edison. For gas odors leave area & call 911. Report power issues at https://t.co/lVVABPWFeG. Contact us at 1-800-75-CONED.,True
3650,CUMMINS INC,Cummins,"We live in an Always On world that stands at the gateway of a more sustainable future. At Cummins, we're inventing the technology that will take us there.",True
3897,DTE ENERGY CO,DTE_Energy,Providing breaking news and tips from Michigan’s largest electric and gas company. Got a question? Message us from 8am-11pm seven days a week.,True
4016,DOLLAR GENERAL CORP,DollarGeneral,"With 17,000 stores, we’re here to Serve Others one community at a time. Save even more every day at Dollar General.",True
4060,DUPONT DE NEMOURS INC,DuPont_News,"For over 200 years DuPont has been innovating around you, reinventing itself to bring technology-driven solutions to customers worldwide. Invent a better now.",True
